IdTeam,TeamName,Gender,IdConfederation,RankingMovement,ConfederationName,IdCountry,RatedMatches,Rank,PrevRank,TotalPoints,PrevPoints,RankingStatus,Properties,IsUpdateable
43816,"Indonésia",1,25998,4,AFC,IDN,66,118,122,1157.142651,1144.884887,0,,
43887,"Togo",1,23913,2,CAF,TOG,42,119,121,1152.757527,1147.31212,0,,
43821,"RPD da Coreia",1,25998,-2,AFC,PRK,17,120,118,1151.052136,1151.052136,0,,
43874,"Namíbia",1,23913,-1,CAF,NAM,45,121,120,1148.839695,1148.839695,0,,
43881,"Serra Leoa",1,23913,-3,CAF,SLE,43,122,119,1147.560535,1148.976347,0,,
43944,"Ilhas Faroe",1,27275,0,UEFA,FRO,47,123,123,1136.585036,1137.138273,0,,
43939,"Chipre",1,27275,2,UEFA,CYP,48,124,126,1133.247165,1128.334119,0,,
43919,"Suriname",1,23914,0,CONCACAF,SUR,30,125,125,1132.425895,1132.425895,0,,
43994,"Azerbaijão",1,27275,-2,UEFA,AZE,47,126,124,1131.995112,1136.6663,0,,
43943,"Estônia",1,27275,2,UEFA,EST,52,127,129,1130.63629,1121.103157,0,,
43877,"Ruanda",1,23913,0,CAF,RWA,40,128,128,1126.622275,1126.622275,0,,
43868,"Maláui",1,23913,-2,CAF,MWI,51,129,127,1122.053591,1128.027858,0,,
43892,"Zimbábue",1,23913,0,CAF,ZIM,39,130,130,1119.77695,1118.123833,0,,
43913,"Nicarágua",1,23914,0,CONCACAF,NCA,40,131,131,1114.634184,1115.13142,0,,
43862,"Guiné-Bissau",1,23913,0,CAF,GNB,48,132,132,1108.381553,1108.381553,0,,
43823,"Kuwait",1,25998,1,AFC,KUW,58,133,134,1106.474587,1105.100165,0,,
43853,"Congo",1,23913,-1,CAF,CGO,37,134,133,1105.964661,1105.964661,0,,
43833,"Filipinas",1,25998,0,AFC,PHI,47,135,135,1100.949959,1094.097577,0,,
43827,"Malásia",1,25998,2,AFC,MAS,58,136,138,1086.218087,1086.218087,0,,
43955,"Letônia",1,27275,0,UEFA,LVA,48,137,137,1085.660758,1090.569353,0,,
43815,"Índia",1,25998,-2,AFC,IND,54,138,136,1084.930775,1091.027887,0,,
43851,"República Centro-Africana",1,23913,0,CAF,CTA,41,139,139,1080.824745,1083.571601,0,,
43865,"Libéria",1,23913,0,CAF,LBR,42,140,140,1080.435325,1079.019513,0,,
44004,"Turcomenistão",1,25998,0,AFC,TKM,25,141,141,1078.652346,1078.652346,0,,
43848,"Burundi",1,23913,0,CAF,BDI,36,142,142,1078.009468,1078.009468,0,,
43857,"Etiópia",1,23913,1,CAF,ETH,49,143,144,1077.520799,1071.546532,0,,
43903,"República Dominicana",1,23914,-1,CONCACAF,DOM,34,144,143,1076.498501,1077.954075,0,,
43842,"Iêmen",1,25998,4,AFC,YEM,27,145,149,1065.236881,1049.491681,0,,
43864,"Lesoto",1,23913,-1,CAF,LES,49,146,145,1064.285838,1067.132424,0,,
43846,"Botsuana",1,23913,-1,CAF,BOT,48,147,146,1063.631368,1063.631368,0,,
43836,"Cingapura",1,25998,-1,AFC,SGP,55,148,147,1057.950212,1059.530429,0,,
43957,"Lituânia",1,27275,-1,UEFA,LTU,48,149,148,1056.850321,1058.421622,0,,
43907,"Guiana",1,23914,0,CONCACAF,GUY,30,150,150,1049.320241,1049.320241,0,,
20010,"Nova Caledônia",1,23916,0,OFC,NCL,18,151,151,1036.952253,1036.952253,0,,
43916,"São Cristóvão e Nevis",1,23914,0,CONCACAF,SKN,24,152,152,1036.334924,1036.334924,0,,
43980,"Ilhas Salomão",1,23916,0,OFC,SOL,32,153,153,1031.894156,1031.894156,0,,
43915,"Porto Rico",1,23914,2,CONCACAF,PUR,27,154,156,1024.297312,1026.105829,0,,
43977,"Fiji",1,23916,-1,OFC,FIJ,32,155,154,1024.172648,1029.697455,0,,
43814,"Hong Kong",1,25998,-1,AFC,HKG,52,156,155,1024.164346,1026.628751,0,,
43981,"Taiti",1,23916,0,OFC,TAH,14,157,157,1019.036032,1019.036032,0,,
43829,"Mianmar",1,25998,0,AFC,MYA,48,158,158,1010.914839,1011.876799,0,,
44036,"Moldávia",1,27275,0,UEFA,MDA,50,159,159,1008.240035,1004.157429,0,,
43982,"Vanuatu",1,23916,0,OFC,VAN,28,160,160,1002.530511,997.005704,0,,
43959,"Malta",1,27275,0,UEFA,MLT,47,161,161,992.793497,987.730586,0,,
1882218,"Antígua e Barbuda",1,23914,0,CONCACAF,ATG,22,162,162,986.584414,986.584414,0,,
43905,"Granada",1,23914,0,CONCACAF,GRN,30,163,163,981.823973,982.568936,0,,
43902,"Cuba",1,23914,0,CONCACAF,CUB,32,164,164,981.423455,981.423455,0,,
43885,"Essuatíni",1,23913,0,CAF,SWZ,47,165,165,979.013939,979.013939,0,,
43917,"Santa Lúcia",1,23914,1,CONCACAF,LCA,19,166,167,976.708996,976.708996,0,,
43898,"Bermudas",1,23914,-1,CONCACAF,BER,31,167,166,975.053746,976.869098,0,,
43979,"Papua Nova Guiné",1,23916,0,OFC,PNG,26,168,168,974.9011,974.9011,0,,
1935341,"Sudão do Sul",1,23913,1,CAF,SSD,40,169,170,970.944527,970.944527,0,,
43918,"São Vicente e Granadinas",1,23914,1,CONCACAF,VIN,28,170,171,968.269638,968.269638,0,,
20000,"Afeganistão",1,25998,-2,AFC,AFG,33,171,169,968.073401,972.745782,0,,
20001,"Andorra",1,27275,1,UEFA,AND,49,172,173,946.429826,945.341934,0,,
43828,"Maldivas",1,25998,-1,AFC,MDV,35,173,172,943.917901,954.928349,0,,
43813,"Taipé Chinesa",1,25998,0,AFC,TPE,26,174,174,923.782643,923.782643,0,,
44009,"Camboja",1,25998,2,AFC,CAM,39,175,177,922.317911,911.538277,0,,
20009,"Montserrat",1,23914,-1,CONCACAF,MSR,20,176,175,916.75251,916.75251,0,,
43830,"Nepal",1,25998,-1,AFC,NEP,42,177,176,914.541224,914.541224,0,,
43871,"Maurício",1,23913,0,CAF,MRI,36,178,178,911.487501,911.487501,0,,
43896,"Barbados",1,23914,0,CONCACAF,BRB,26,179,179,909.893208,909.893208,0,,
44011,"Belize",1,23914,0,CONCACAF,BLZ,22,180,180,907.001211,907.001211,0,,
43809,"Bangladesh",1,25998,0,AFC,BAN,47,181,181,902.92965,899.532777,0,,
43997,"Dominica",1,23914,0,CONCACAF,DMA,25,182,182,897.686437,897.686437,0,,
43852,"Chade",1,23913,0,CAF,CHA,30,183,183,896.852819,896.852819,0,,
20006,"Eritreia",1,23913,0,CAF,ERI,7,184,184,887.063341,887.063341,0,,
43824,"Laos",1,25998,0,AFC,LAO,30,185,185,885.028891,885.028891,0,,
44007,"Ilhas Cook",1,23916,2,OFC,COK,9,186,188,877.534995,877.534995,0,,
43837,"Sri Lanka",1,25998,4,AFC,SRI,34,187,191,876.858829,871.820215,0,,
1882637,"Samoa",1,23916,2,OFC,SAM,14,188,190,876.407812,876.407812,0,,
43894,"Aruba",1,23914,0,CONCACAF,ARU,21,189,189,875.61115,877.297071,0,,
20008,"Mongólia",1,25998,-3,AFC,MNG,21,190,187,874.469074,879.751523,0,,
20012,"Samoa Americana",1,23916,1,OFC,ASA,7,191,192,871.612081,871.612081,0,,
20003,"Butão",1,25998,-6,AFC,BHU,21,192,186,870.806447,880.548088,0,,
43826,"Macau",1,25998,1,AFC,MAC,12,193,194,858.03342,858.03342,0,,
43810,"Brunei",1,25998,-1,AFC,BRU,30,194,193,857.733061,863.09176,0,,
43878,"São Tomé e Príncipe",1,23913,1,CAF,STP,22,195,196,855.438666,855.438666,0,,
43996,"Djibuti",1,23913,1,CAF,DJI,31,196,197,853.581786,853.581786,0,,
43900,"Ilhas Cayman",1,23914,-2,CONCACAF,CAY,22,197,195,850.061011,855.449528,0,,
43832,"Paquistão",1,25998,4,AFC,PAK,25,198,202,840.280827,824.597998,0,,
43882,"Somália",1,23913,-1,CAF,SOM,21,199,198,839.169697,839.169697,0,,
44039,"Tonga",1,23916,-1,OFC,TGA,7,200,199,835.64241,835.64241,0,,
1890334,"Timor-Leste",1,25998,-1,AFC,TLS,27,201,200,830.998683,825.639984,0,,
1941613,"Gibraltar",1,27275,1,UEFA,GIB,48,202,203,820.260818,810.14071,0,,
20007,"Guam",1,25998,-2,AFC,GUM,10,203,201,819.540575,825.430997,0,,
43880,"Seicheles",1,23913,0,CAF,SEY,35,204,204,804.161509,804.161509,0,,
20011,"Ilhas Turcas e Caicos",1,23914,0,CONCACAF,TCA,12,205,205,803.980015,803.980015,0,,
43956,"Liechtenstein",1,27275,0,UEFA,LIE,47,206,206,797.701009,803.570149,0,,
43895,"Bahamas",1,23914,0,CONCACAF,BAH,23,207,207,786.816217,786.816217,0,,
1881967,"Ilhas Virgens Americanas",1,23914,1,CONCACAF,VIR,15,208,209,779.764266,779.764266,0,,
20004,"Ilhas Virgens Britânicas",1,23914,-1,CONCACAF,VGB,24,209,208,777.405734,782.137325,0,,
20002,"Anguila",1,23914,0,CONCACAF,AIA,18,210,210,760.251852,760.251852,0,,
43966,"San Marino",1,27275,0,UEFA,SMR,47,211,211,721.201827,726.330601,0,,
